text,label
"The Indian government has launched a new digital education initiative to improve rural learning access.",1
"RBI announces new monetary policy to control inflation in the country.",1
"ISRO successfully launched a new satellite for weather monitoring.",1
"Breaking! Drinking cow urine cures all diseases instantly, scientists shocked.",0
"WhatsApp message claims eating chocolate cures COVID-19 completely.",0
"Shocking! Man becomes invisible after eating special Indian herb.",0
text,label
"Breaking: The Indian government has launched a new digital policy.",1
"Breaking: RBI announces new interest rate changes.",1
